OLS is helping me work openly,OLS is helping me encourage others to work openly,Which of the following aspects of the cohort call work well?,What should we improve in cohort calls?,Which of the following statements is true regarding the usefulness of the topics introduced at the OLS?,How much time do you spend on assignments on average? (not meetings),Which of the following mode of communication you find most effective?,How many cohort calls have been able to attend or watch in this round?,To what extent did your mentor meet your expectations?,Would you like to work with your mentor in future?
5,5,All of the above,All of the above,I have been able to use SOME concepts introduced at OLS so far,2-3 hours / week,"Weekly emails from the organisers, Slack channels to connect with others, Website with links to various resources",Attended 3 calls and watched the missed call on youtube. ,5,Yes
3,3,"Information on before, during and after the call, Introduction and icebreaker led by the hosts, Talks by the guest speakers, Breakout room activities, Shared note-taking on the google doc, Opportunity to get to know others, All of the above",None of the above ,I have been able to use SOME concepts introduced at OLS so far,<1 hour / week,Weekly emails from the organisers,"I have attended 1-2 cohort calls, and watched the missed call on YouTube",4,Yes
5,5,"Information on before, during and after the call",Shared note-taking on the google doc,I have been able to use SOME concepts introduced at OLS so far,2-3 hours / week,Weekly emails from the organisers,"I have attended 1-2 cohort calls, and watched the missed call on YouTube, I have yet to watch all the cohort call videos",5,Yes
5,4,"Introduction and icebreaker led by the hosts, Talks by the guest speakers, Breakout room activities","Information on before, during and after the call, Opportunity to get to know others",I have been able to use SOME concepts introduced at OLS so far,1-2 hours / week,"Slack channels to connect with others, Website with links to various resources",I have missed 2 cohort calls and watched the call on YouTube,5,Yes
5,5,All of the above,"Breakout room activities, Add more time for break out room activities ",I have been able to use MOST concepts introduced at OLS so far,1-2 hours / week,All of the above,i have attended most of the cohort calls ,5,Yes
4,4,All of the above,scheduling,I have been able to use MOST concepts introduced at OLS so far,2-3 hours / week,Weekly emails from the organisers,"I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Yes
5,3,"Information on before, during and after the call, Introduction and icebreaker led by the hosts, Talks by the guest speakers, Opportunity to get to know others",Time the calls are scheduled to start ,I have been able to use MOST concepts introduced at OLS so far,2-3 hours / week,"Weekly emails from the organisers, Slack channels to connect with others, Website with links to various resources","I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Yes
4,4,All of the above,Talks by the guest speakers,I have been able to use SOME concepts introduced at OLS so far,1-2 hours / week,"Slack channels to connect with others, Website with links to various resources","I have attended 1-2 cohort calls, and watched the missed call on YouTube",4,Yes
4,4,"Information on before, during and after the call, Introduction and icebreaker led by the hosts, Breakout room activities, Shared note-taking on the google doc, Opportunity to get to know others","maybe let some presentations be longer, more in depth",I have been able to use MOST concepts introduced at OLS so far,<1 hour / week,"Weekly emails from the organisers, Slack channels to connect with others, Website with links to various resources","I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Yes
5,5,All of the above,"Information on before, during and after the call, Talks by the guest speakers, Shared note-taking on the google doc",I have been able to use SOME concepts introduced at OLS so far,<1 hour / week,"Website with links to various resources, Whatsapp ","I watched all the cohort calls on YouTube, but have not attended any call so far",4,Yes
