OLS is helping me work openly,OLS is helping me encourage others to work openly,Which of the following aspects of the cohort call work well?,What should we improve in cohort calls?,Which of the following statements is true regarding the usefulness of the topics introduced at the OLS?,How much time do you spend on assignments on average? (not meetings),Which of the following mode of communication you find most effective?,How many cohort calls have been able to attend or watch in this round?,To what extent did your mentor meet your expectations?,Would you like to work with your mentor in future?
4,4,"Information on before, during and after the call, Talks by the guest speakers","Introduction and icebreaker led by the hosts, Breakout room activities, Opportunity to get to know others",I have been able to use MOST concepts introduced at OLS so far,3+ hours / week,"Weekly emails from the organisers, Slack channels to connect with others",I have attended all the cohort calls so far,4,Maybe
4,4,All of the above,Breakout room activities,I have been able to use ALL concepts introduced at OLS so far,2-3 hours / week,Weekly emails from the organisers,I have attended all the cohort calls so far,5,Yes
4,5,"Talks by the guest speakers, Breakout room activities, Opportunity to get to know others","Information on before, during and after the call, Talks by the guest speakers",I have been able to use VERY FEW concepts introduced at OLS so far,2-3 hours / week,Weekly emails from the organisers,"I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Yes
5,5,"Talks by the guest speakers, Breakout room activities",Opportunity to get to know others,I have been able to use MOST concepts introduced at OLS so far,3+ hours / week,"Weekly emails from the organisers, Slack channels to connect with others, Google groups for tracking weekly information",I have attended all the cohort calls so far,5,Yes
5,5,All of the above,"Information on before, during and after the call",I have been able to use SOME concepts introduced at OLS so far,1-2 hours / week,All of the above,Some,5,Yes
5,5,All of the above,Breakout room activities,I have been able to use SOME concepts introduced at OLS so far,<1 hour / week,"Weekly emails from the organisers, Website with links to various resources","I have attended 1-2 cohort calls, and watched the missed call on YouTube",3,Yes
4,4,"Introduction and icebreaker led by the hosts, Talks by the guest speakers, Breakout room activities, Opportunity to get to know others","Information on before, during and after the call",I have been able to use MOST concepts introduced at OLS so far,3+ hours / week,"Slack channels to connect with others, Website with links to various resources","I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Yes
3,4,"Information on before, during and after the call, Introduction and icebreaker led by the hosts, Talks by the guest speakers, Shared note-taking on the google doc, Opportunity to get to know others, Providing recordings/notes of calls in a timely manner afterwards. ","Opportunity to get to know others, Sharing recording transcripts also would be helpful. ",I have been able to use SOME concepts introduced at OLS so far,1-2 hours / week,"Weekly emails from the organisers, Google groups for tracking weekly information, Website with links to various resources, Slack is useful, but is a shame that is a free version so lose access to some posts after 90 days. Perhaps could migrate info to open source version, Mattermost instead? ","I have attended 1-2 cohort calls, and watched the missed call on YouTube",4,Yes
4,4,"Information on before, during and after the call, Shared note-taking on the google doc",NA,I have been able to use MOST concepts introduced at OLS so far,1-2 hours / week,"Weekly emails from the organisers, Slack channels to connect with others, Website with links to various resources",I have yet to watch all the cohort call videos,4,Maybe
5,4,"Information on before, during and after the call, Talks by the guest speakers, Shared note-taking on the google doc, Opportunity to get to know others","Breakout room activities, I think is more my difficulty to adapt. You are making and excellent job!",I have been able to use MOST concepts introduced at OLS so far,2-3 hours / week,All of the above,"I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Maybe
4,4,"Information on before, during and after the call, Introduction and icebreaker led by the hosts, Talks by the guest speakers, Shared note-taking on the google doc","Information on before, during and after the call, Breakout room activities, Opportunity to get to know others",I have been able to use MOST concepts introduced at OLS so far,<1 hour / week,"Weekly emails from the organisers, Slack channels to connect with others",I have attended all the cohort calls so far,5,Yes
4,4,"Introduction and icebreaker led by the hosts, Breakout room activities, Shared note-taking on the google doc",Opportunity to get to know others,I have been able to use SOME concepts introduced at OLS so far,1-2 hours / week,Weekly emails from the organisers,"I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Yes
5,5,"Information on before, during and after the call, Introduction and icebreaker led by the hosts, Talks by the guest speakers, Shared note-taking on the google doc, Opportunity to get to know others","Information on before, during and after the call, Talks by the guest speakers, Breakout room activities",I have been able to use MOST concepts introduced at OLS so far,1-2 hours / week,"Weekly emails from the organisers, Slack channels to connect with others, Website with links to various resources","I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Yes
