OLS is helping me work openly,OLS is helping me encourage others to work openly,Which of the following aspects of the cohort call work well?,What should we improve in cohort calls?,Which of the following statements is true regarding the usefulness of the topics introduced at the OLS?,How much time do you spend on assignments on average? (not meetings),Which of the following mode of communication you find most effective?,How many cohort calls have been able to attend or watch in this round?,To what extent did your mentor meet your expectations?,Would you like to work with your mentor in future?
5,5,"Information on before, during and after the call, Introduction and icebreaker led by the hosts, Talks by the guest speakers, Shared note-taking on the google doc, Written breakout room activities",Opportunity to get to know others,I have been able to use MOST concepts introduced at OLS so far,2-3 hours / week,Weekly emails from the organisers,"I have attended all the cohort calls except one, which I watched on YouTube",5,Yes
5,5,"Information on before, during and after the call, Introduction and icebreaker led by the hosts, Talks by the guest speakers, Shared note-taking on the google doc",Breakout room activities,I have been able to use MOST concepts introduced at OLS so far,1-2 hours / week,"Weekly emails from the organisers, Google groups for tracking weekly information","I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Yes
5,5,"Information on before, during and after the call, Introduction and icebreaker led by the hosts, Talks by the guest speakers, Breakout room activities, Shared note-taking on the google doc, Opportunity to get to know others, All of the above",The talks are very interesting,I have been able to use SOME concepts introduced at OLS so far,1-2 hours / week,Weekly emails from the organisers,I have attended all the cohort calls so far,5,Yes
4,3,"Information on before, during and after the call, Introduction and icebreaker led by the hosts, Talks by the guest speakers, Breakout room activities",Opportunity to get to know others,I have been able to use MOST concepts introduced at OLS so far,1-2 hours / week,"Weekly emails from the organisers, Google groups for tracking weekly information",I have attended all the cohort calls so far,5,Yes
5,4,"All of the above, Having spoken and written spaces",More time for questions for the speakers,I have been able to use MOST concepts introduced at OLS so far,2-3 hours / week,"Weekly emails from the organisers, Website with links to various resources",I have attended all the cohort calls so far,4,Yes
5,5,"Information on before, during and after the call, Introduction and icebreaker led by the hosts, Talks by the guest speakers, Breakout room activities, Shared note-taking on the google doc, Opportunity to get to know others, All of the above",Shared note-taking on the google doc,I have been able to use ALL concepts introduced at OLS so far,3+ hours / week,"Weekly emails from the organisers, Slack channels to connect with others, Website with links to various resources","I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Yes
3,4,"Talks by the guest speakers, Shared note-taking on the google doc, Opportunity to get to know others","Information on before, during and after the call",I have been able to use SOME concepts introduced at OLS so far,<1 hour / week,"Slack channels to connect with others, Website with links to various resources","I have attended 1-2 cohort calls, and watched the missed call on YouTube",4,Yes
5,5,"Information on before, during and after the call, Introduction and icebreaker led by the hosts, Talks by the guest speakers, Shared note-taking on the google doc, Opportunity to get to know others",Breakout room activities,I have been able to use ALL concepts introduced at OLS so far,3+ hours / week,"Weekly emails from the organisers, Slack channels to connect with others, Website with links to various resources","I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Yes
4,4,"Information on before, during and after the call, Introduction and icebreaker led by the hosts, Shared note-taking on the google doc",Breakout room activities,I have been able to use SOME concepts introduced at OLS so far,1-2 hours / week,"Weekly emails from the organisers, Slack channels to connect with others",I have yet to watch all the cohort call videos,5,Maybe
5,5,"Information on before, during and after the call, Introduction and icebreaker led by the hosts, Talks by the guest speakers, Breakout room activities, Recording the call and making it available on YouTube",Shared note-taking on the google doc,I have been able to use MOST concepts introduced at OLS so far,1-2 hours / week,"Weekly emails from the organisers, Slack channels to connect with others","I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Yes
4,4,"Information on before, during and after the call, Talks by the guest speakers, Shared note-taking on the google doc, Opportunity to get to know others",Everything is fine,I have been able to use MOST concepts introduced at OLS so far,1 hr / week sometimes + <1 hr / week some time depending upon the commitments or assignments,"Weekly emails from the organisers, Slack channels to connect with others, Website with links to various resources","I have attended 4 cohort calls, and watched the missed call on YouTube",5,Yes
5,5,"Information on before, during and after the call, Introduction and icebreaker led by the hosts, Talks by the guest speakers, Shared note-taking on the google doc","Breakout room activities, Opportunity to get to know others",I have been able to use MOST concepts introduced at OLS so far,2-3 hours / week,"Weekly emails from the organisers, Website with links to various resources",I have attended all the cohort calls so far,5,Yes
5,5,"Introduction and icebreaker led by the hosts, Talks by the guest speakers, Breakout room activities, Opportunity to get to know others",Shared note-taking on the google doc,I have been able to use SOME concepts introduced at OLS so far,<1 hour / week,"Weekly emails from the organisers, Website with links to various resources",I have attended all the cohort calls so far,4,Maybe
4,4,"Talks by the guest speakers, Shared note-taking on the google doc, Opportunity to get to know others","Information on before, during and after the call",I have been able to use MOST concepts introduced at OLS so far,1-2 hours / week,"Weekly emails from the organisers, Slack channels to connect with others, Website with links to various resources","I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Yes
5,5,"Information on before, during and after the call, Talks by the guest speakers, Shared note-taking on the google doc, Opportunity to get to know others",Opportunity to get to know others,I have been able to use ALL concepts introduced at OLS so far,1-2 hours / week,"Weekly emails from the organisers, Slack channels to connect with others",I have attended all the cohort calls so far,5,Yes
5,5,"Information on before, during and after the call, Introduction and icebreaker led by the hosts, Talks by the guest speakers, Breakout room activities, Shared note-taking on the google doc, Opportunity to get to know others, All of the above, Mentorship by mentors","Information on before, during and after the call",I have been able to use MOST concepts introduced at OLS so far,1-2 hours / week,"Weekly emails from the organisers, Website with links to various resources","I have attended 1-2 cohort calls, and watched the missed call on YouTube",4,Maybe
4,4,"Information on before, during and after the call, Talks by the guest speakers, Shared note-taking on the google doc, Opportunity to get to know others",Breakout room activities,I have been able to use SOME concepts introduced at OLS so far,1-2 hours / week,"Weekly emails from the organisers, Slack channels to connect with others","I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Yes
5,5,"Information on before, during and after the call, Talks by the guest speakers, Shared note-taking on the google doc",Breakout room activities,I have been able to use ALL concepts introduced at OLS so far,<1 hour / week,"Weekly emails from the organisers, Website with links to various resources","I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Yes
5,5,All of the above,Nothing,I have been able to use ALL concepts introduced at OLS so far,<1 hour / week,Website with links to various resources,"I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Maybe
5,5,"Information on before, during and after the call, Introduction and icebreaker led by the hosts, Talks by the guest speakers, Shared note-taking on the google doc, Opportunity to get to know others","Information on before, during and after the call, Introduction and icebreaker led by the hosts, Talks by the guest speakers, Breakout room activities, Shared note-taking on the google doc, Opportunity to get to know others",I have been able to use SOME concepts introduced at OLS so far,2-3 hours / week,"Weekly emails from the organisers, Google groups for tracking weekly information, Website with links to various resources","I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Maybe
4,4,"Information on before, during and after the call, Talks by the guest speakers, Shared note-taking on the google doc",Breakout room activities,I have been able to use SOME concepts introduced at OLS so far,1-2 hours / week,"Weekly emails from the organisers, Website with links to various resources","I have attended 1-2 cohort calls, and watched the missed call on YouTube",4,Yes
4,3,"Information on before, during and after the call, Introduction and icebreaker led by the hosts, Talks by the guest speakers, Shared note-taking on the google doc, Opportunity to get to know others","Information on before, during and after the call",I have been able to use MOST concepts introduced at OLS so far,<1 hour / week,Weekly emails from the organisers,"I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Yes
5,5,"Information on before, during and after the call, Talks by the guest speakers, Breakout room activities, Shared note-taking on the google doc, Opportunity to get to know others",Everything works fine:),I have been able to use ALL concepts introduced at OLS so far,1-2 hours / week,All of the above,"I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Yes
