OLS is helping me work openly,OLS is helping me encourage others to work openly,Which of the following aspects of the cohort call work well?,What should we improve in cohort calls?,Which of the following statements is true regarding the usefulness of the topics introduced at the OLS?,How much time do you spend on assignments on average? (not meetings),Which of the following mode of communication you find most effective?,How many cohort calls have been able to attend or watch in this round?,To what extent did your mentor meet your expectations?,Would you like to work with your mentor in future?
4,5,"Information on before, during and after the call, Introduction and icebreaker led by the hosts, Shared note-taking on the google doc",Breakout room activities,I have been able to use MOST concepts introduced at OLS so far,1-2 hours / week,"Weekly emails from the organisers, Slack channels to connect with others","I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Yes
5,5,"Information on before, during and after the call, Talks by the guest speakers, Shared note-taking on the google doc, Opportunity to get to know others",Timing,I have been able to use MOST concepts introduced at OLS so far,1-2 hours / week,Weekly emails from the organisers,I have attended all the cohort calls so far,4,Maybe
4,3,All of the above,"Introduction and icebreaker led by the hosts, Maybe read the ice breaker responses for more acknowledgment of responses. ",I have been able to use SOME concepts introduced at OLS so far,3+ hours / week,"Weekly emails from the organisers, Website with links to various resources","I have attended 1-2 cohort calls, and watched the missed call on YouTube",4,Yes
4,4,All of the above,Opportunity to get to know others,I have been able to use MOST concepts introduced at OLS so far,1-2 hours / week,All of the above,"I have attended 1-2 cohort calls, and watched the missed call on YouTube",4,Yes
5,5,"All of the above, calls are recorded so i can watch later (I am in an odd timezone)",none,I have been able to use MOST concepts introduced at OLS so far,1-2 hours / week,All of the above,"I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Yes
4,4,"Talks by the guest speakers, Breakout room activities, Shared note-taking on the google doc","nothing, it works",I have been able to use MOST concepts introduced at OLS so far,"""some"" hours when I can, unfortunately not on a regular basis","Weekly emails from the organisers, Website with links to various resources","I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Yes
5,5,All of the above,Nonr,I have been able to use MOST concepts introduced at OLS so far,1-2 hours / week,All of the above,"I watched all the cohort calls on YouTube, but have not attended any call so far",5,Yes
4,4,All of the above,Opportunity to get to know others,I have been able to use ALL concepts introduced at OLS so far,1-2 hours / week,Weekly emails from the organisers,"I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Yes
4,4,All of the above,n/a,I have been able to use SOME concepts introduced at OLS so far,3+ hours / week,All of the above,"I have attended 1-2 cohort calls, and watched the missed call on YouTube",4,Yes
4,5,"Information on before, during and after the call, Introduction and icebreaker led by the hosts, Talks by the guest speakers, Shared note-taking on the google doc",It's really great! I've loved the speakers and have learnt so much. ,I have been able to use MOST concepts introduced at OLS so far,1-2 hours / week,"Weekly emails from the organisers, Slack channels to connect with others","I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Yes
4,5,"Information on before, during and after the call, Introduction and icebreaker led by the hosts, Talks by the guest speakers, Breakout room activities, Opportunity to get to know others",Shared note-taking on the google doc,I have been able to use SOME concepts introduced at OLS so far,1-2 hours / week,Weekly emails from the organisers,"I have attended 1-2 cohort calls, and watched the missed call on YouTube",5,Yes
4,4,"Introduction and icebreaker led by the hosts, Talks by the guest speakers, Breakout room activities, Shared note-taking on the google doc",N/A,I have been able to use SOME concepts introduced at OLS so far,<1 hour / week,Slack channels to connect with others,3-4 cohort calls and the rest on Youtube,4,Yes
5,5,"Information on before, during and after the call, Introduction and icebreaker led by the hosts, Talks by the guest speakers, Breakout room activities, Shared note-taking on the google doc, Opportunity to get to know others, All of the above",Breakout room activities,I have been able to use ALL concepts introduced at OLS so far,1-2 hours / week,Weekly emails from the organisers,I have attended all the cohort calls so far,4,Maybe
4,4,All of the above,Opportunity to get to know others,I have been able to use SOME concepts introduced at OLS so far,3+ hours / week,All of the above,"I have attended 1-2 cohort calls, and watched the missed call on YouTube",4,Yes
