How were your overall mentorship training and support experience in OLS?,What expectations from the OLS program were met and where can we do better?,How was your overall experience with the mentoring calls with your mentee?,"If you followed the cohort calls (notes or videos), which of the following topics introduced in these cohort calls were useful for you?","Would you be interested in returning to the next cohort as a mentor or expert, and/or join our steering committee?",Do you think your mentee was able to effectively engage with OLS throughout the program?,Anything else you would like to share with us?
I felt supported as a mentor and the training offered in the OLS-4 was adequate,,Mentoring calls were somewhat constructive,"Licensing and Code of Conduct, Knowledge Dissemination: Preprints, Training and Code Publishing, Data management plans, software citation, Citizen Science","Yes I'd like to return as a mentor, Yes I'd like to return as an expert","Yes, they were able to engage",
"I felt supported as a mentor and the training offered in the OLS-4 was adequate, I enjoyed my participation and did not find the experience overwhelming",I really like having some initial training for mentors. It was really helpful and set the stage for my mentoring activities. It empowered me to provide my mentees the necessary support and at the same time set boundaries to make sure I don't feel overwhelmed and/or guilty of not supporting them sufficiently.,Mentoring calls were mostly constructive,"Final presentation rehearsals, Final presentation call (open and live streamed)",Yes I'd like to return as a mentor,I think they were able to engage most of the time. They often had to catch up between the calls and what they effectively used in their project.,Thanks. Awesome program and organizers!
"I felt supported as a mentor and the training offered in the OLS-4 was adequate, I enjoyed my participation and did not find the experience overwhelming, I could not invest as much time as I wanted. I understimated the issue of getting to meeting in the evenings due to time differences",,Mentoring calls were mostly constructive,,"Yes I'd like to return as a mentor, Yes I'd like to return as an expert","Yes, they were able to engage",
"I felt supported as a mentor and the training offered in the OLS-4 was adequate, I enjoyed my participation and did not find the experience overwhelming",My mentee enjoyed the program and learnt a lot. So the expectations were fully met.,Mentoring calls were mostly constructive,"Mental health, self care, personal ecology","Yes I'd like to return as an expert, I would take a break but please keep me informed about the next cohort","Yes, they were able to engage",
I enjoyed my participation and did not find the experience overwhelming,"As usual, run excellently and a very worthwhile program to be part of.",Mentoring calls were mostly constructive,"Knowledge Dissemination: Preprints, Training and Code Publishing, Data management plans, software citation",Yes I am interesting in joining the OLS steering committee,"Yes, they were able to engage",
"I felt supported as a mentor and the training offered in the OLS-4 was adequate, I enjoyed my participation and did not find the experience overwhelming",,Mentoring calls were mostly constructive,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Knowledge Dissemination: Preprints, Training and Code Publishing, Data management plans, software citation, Citizen Science, Diversity and Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Ally skills, Open Leadership: Career Guidance call, Final presentation rehearsals, Final presentation call (open and live streamed)","Yes I'd like to return as a mentor, Yes I'd like to return as an expert, Yes I am interesting in joining the OLS steering committee","Yes, they were able to engage",
"I felt supported as a mentor and the training offered in the OLS-4 was adequate, I enjoyed my participation and did not find the experience overwhelming",The training was great and it is nice to have a channel where we can ask questions if additional support is needed.,Mentoring calls were always constructive,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Knowledge Dissemination: Preprints, Training and Code Publishing, Data management plans, software citation, Diversity and Inclusion, Mountain of engagement and Community interactions, Mental health, self care, personal ecology, Ally skills, Open Leadership: Career Guidance call, Final presentation call (open and live streamed)","Yes I'd like to return as a mentor, Yes I'd like to return as an expert, Yes I'd like to return as a collaborator to run this program in my network, Yes I am interesting in joining the OLS steering committee",I think Arent was very much capable to effectively engage but I also received his feedback that he wished he had more time to really get the most out of it. I guess that's life :) Gill had a very busy time with teaching and the project changed focus in the middle of OLS so it was a bit more rough there. I think she managed to get at least something out of the programme but she has also been out of touch over christmas so I'm not sure if she's managing to graduate. I think in general people are just worn out over the pandemic: I myself was also not at my best in December and feel a bit more recharged right now. ,
"I felt supported as a mentor and the training offered in the OLS-4 was adequate, I enjoyed my participation and did not find the experience overwhelming",,Mentoring calls were mostly constructive,"Tooling and Roadmapping (open canvas, project vision etc.), Project development: Agile and iterative project management methods & Open Aspects, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Ally skills, Final presentation call (open and live streamed)","Yes I'd like to return as a mentor, Yes I am interesting in joining the OLS steering committee","No, they had difficulty engaging or attending calls","You guys are doing an incredible job! Well done!

One thing I would say is I had a few last minute invites to present that I missed - it would be good to know if I was on the line up for particular topics in advance so I'm better able to respond to requests when they come through. "
"I felt supported as a mentor and the training offered in the OLS-4 was adequate, I enjoyed my participation and did not find the experience overwhelming",,Mentoring calls were somewhat constructive,,Yes I am interesting in joining the OLS steering committee,"No, they had difficulty engaging or attending calls",
"I felt supported as a mentor and the training offered in the OLS-4 was adequate, I enjoyed my participation and did not find the experience overwhelming","My expectations that were met: I got to mentor an interesting person working on a cool project & watch both the person & project grow; I got to learn from other mentors and from the cohort; I had fun! Things to change (maybe): I have mixed feelings about how cohort calls are optional to attend. I like that it is flexible for the mentees (say, they can't attend a call because they have a work obligation), but I think that my mentee took advantage of that and ended up not attending most things. I think she would have gotten more out of it if she had to attend. Maybe a solution is that mentees get 2 free passes to skip 2 meetings (or something)? I tried to hold her accountable, but I think it would be more successful if it was in the official rules/protocols. But again, we are entering year 3 of COVID (someone I know called it ""sophomore year of COVID"" and now I have to call it that...) so having flexibility is really important.",Mentoring calls were mostly constructive,"Tooling and Roadmapping (open canvas, project vision etc.), Project development: Agile and iterative project management methods & Open Aspects, Citizen Science",I am not sure yet but ask me later,"No, they had difficulty engaging or attending calls","All the resources (notes, syllabus, videos, Slack) are so helpful and useful to me personally for various aspects of work. Thank you for creating them and hosting them!"
