How were your overall mentorship training and support experience in OLS?,What expectations from the OLS program were met and where can we do better?,How was your overall experience with the mentoring calls with your mentee?,"If you followed the cohort calls (notes or videos), which of the following topics introduced in these cohort calls were useful for you?","Would you be interested in returning to the next cohort as a mentor or expert, and/or join our steering committee?",Anything else you would like to share with us?
I felt supported as a mentor and the training offered in the OLS-3 was adequate,It was great!,Mentoring calls were somewhat constructive,,Yes I'd like to return as an expert,
"I felt supported as a mentor and the training offered in the OLS-3 was adequate, I enjoyed my participation and did not find the experience overwhelming, I found mentoring this project really inspiring. Sometimes Annalee had queries I did not know the answer to but the community allowed me to suggest others for her to engage with (thanks all!) and we talked through the challenges together.","The mentor training,  peer support, slack channel and general communcation are all excellent!",Mentoring calls were mostly constructive,"Licensing and Code of Conduct, GitHub and README files, Applying FAIR principles, Final presentation call (open and live streamed), All above! I have marked those I joined or re-watched. I did hope to re-join more but time was limited.","I am not sure yet, but ask me later when you have launched OLS-4, I am keen to open this up and invite more building energy researchers - this network is developing informally so I would like to plan further developing a community, either as a mentee, mentor or expert. I just need to think it through/discuss.","I remain very inspired by this work and continue to evolve my own knowledge, skills and practices in open science. Thank you for the opportunty to mentor in OLS3!"
"I felt supported as a mentor and the training offered in the OLS-3 was adequate, I enjoyed my participation and did not find the experience overwhelming","It was a very positive experience. The training for mentors at the beginning of the cohort was very good, it was very valuable in providing a framework for the mentoring relationship and tips for how to handle conversations. I also really enjoyed getting to meet other mentors.
 
The relationship with the mentees has been very good, I am happy I had an opportunity to meet a group whom I may not have come across otherwise. I think their project was slightly too large in scope, I tried to guide them around that while allowing them to shape their work (instead of trying to make the project look like what I may have done). The project has now taken a different line where they’ll pursue a collaboration with another group, I see it a very positive outcome even though it’s different from what they set out to do at the beginning. I am also planning to keep in touch with the mentees.
",Mentoring calls were always constructive,"Tooling and Roadmapping (open canvas, project vision etc.), Knowledge Dissemination: Preprints, open protocols, citizen science, Final presentation call (open and live streamed)","Yes I'd like to return as a mentor, Yes I'd like to return as an expert",
"I felt supported as a mentor and the training offered in the OLS-3 was adequate, I enjoyed my participation and did not find the experience overwhelming",I was really impressed by the mentor training and community calls. I particularly appreciated how well the calls were moderated. ,Mentoring calls were always constructive,"Knowledge Dissemination: Preprints, open protocols, citizen science, Designing for inclusion: Implicit bias, Diversity and Inclusion","Yes I'd like to return as a mentor, Yes I'd like to return as an expert",Great work! I learned so much and was really inspired by the participants. 
"I felt supported as a mentor and the training offered in the OLS-3 was adequate, I enjoyed my participation and did not find the experience overwhelming",,Mentoring calls were mostly constructive,,"Yes I'd like to return as a mentor, I am not sure yet but ask me later",
"I felt supported as a mentor and the training offered in the OLS-3 was adequate, I enjoyed my participation and did not find the experience overwhelming",Participating exceeded my expectations regarding networking with other folks from low-middle income countries. I have no suggestion for improvements.,Mentoring calls were always constructive, I wish the rest of my duties would have allowed me to follow all this amazing content :_(,"I am not sure yet, but ask me later",Thank you!
"I felt supported as a mentor and the training offered in the OLS-3 was adequate, I enjoyed my participation and did not find the experience overwhelming",All my expectations were met or exceeded and I really can't think of anything that could have been done better. I think the structural approach and the application process work really well! ,Mentoring calls were always constructive,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Knowledge Dissemination: Preprints, open protocols, citizen science, Applying FAIR principles, Designing for inclusion: Implicit bias, Diversity and Inclusion, Mountain of engagement and Community interactions, Mental health, self care, personal ecology, Ally skills, Final presentation call (open and live streamed)","Yes I'd like to return as a mentor, Yes I'd like to return as an expert, Yes I'd like to return as a collaborator to run this program in my network, I should have more time in September to be able to put in more time into this during working hours: especially if I can get the credits for the PhDs sorted out and have some of them apply. ",I want to write a blog on mentoring and the lessons I learned thanks to the OLS programme. I'm not making any promises on when that will actually happen but I was thinking it might be nice to publish it on the OLS website whenever it is done. Feedback is also always welcome! :) Thank you for everything! 
I felt supported as a mentor and the training offered in the OLS-3 was adequate,"Thank you to the leadership team for being so visible and highly responsive! I don't know how you do it but for me it's really refreshing and incredibly comforting to see you so active in the Slack groups, hosting the online meetings, and generally making sure people know they can reach out to you
",Mentoring calls were always constructive,"So sorry, I didn't attend any of the cohort calls this time, but find all the topics very applicable","Yes I'd like to return as a mentor, Yes I'd like to return as a collaborator to run this program in my network",Thanks for this wonderful opportunity to stay connected despite the isolation!
I felt supported as a mentor and the training offered in the OLS-3 was adequate,,Mentoring calls were always constructive,I did not attend any as I was a project lead in OLS2,"Yes I'd like to return as a mentor, Yes I'd like to return as an expert","As always, thanks for being open science super stars! "
I felt supported as a mentor and the training offered in the OLS-3 was adequate,OLS-3 was again a great success - thank you very much for running it,Mentoring calls were always constructive,,Yes I'd like to return as a mentor,"I have a comment/concern: a leader of a small, one person project might be overwhelmed by the size (diversity of topics) of the OLS program.
(I will get in contact with you within the next few weeks in order to explain in more details)"
"I felt supported as a mentor and the training offered in the OLS-3 was adequate, I enjoyed my participation and did not find the experience overwhelming",,Mentoring calls were somewhat constructive,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Final presentation rehearsals, Final presentation call (open and live streamed)","Yes I'd like to return as a mentor, Yes I'd like to return as an expert",
