How were your overall mentorship training and support experience in OLS?,What expectations from the OLS program were met and where can we do better?,How was your overall experience with the mentoring calls with your mentee?,"If you followed the cohort calls (notes or videos), which of the following topics introduced in these cohort calls were useful for you?","Would you be interested in returning to the next cohort as a mentor or expert, and/or join our steering committee?",Do you think your mentee was able to effectively engage with OLS throughout the program?,Anything else you would like to share with us?
"I felt supported as a mentor and the training offered in the OLS-6 was adequate, I enjoyed my participation and did not find the experience overwhelming",,Mentoring calls were not structured or constructive,I have been to these calls before so did not attend this time,"Yes I'd like to return as a mentor, Yes I'd like to return as an expert","No, they had difficulty engaging or attending calls",
"I felt supported as a mentor and the training offered in the OLS-6 was adequate, I enjoyed my participation and did not find the experience overwhelming",,Mentoring calls were mostly constructive,,"I am not sure yet, but ask me later","Yes, they were able to engage",
"I felt supported as a mentor and the training offered in the OLS-6 was adequate, I enjoyed my participation and did not find the experience overwhelming",Yes - I love how the programme is structured and how the community is cared for and looked after throughout the programme!,Mentoring calls were always constructive,"Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Ally skills, Open Leadership: Career Guidance call, Final presentation call (open and live streamed)","Yes, I'd like to return as a mentor","Yes, they were able to engage",
"I felt supported as a mentor and the training offered in the OLS-6 was adequate, I enjoyed my participation and did not find the experience overwhelming",,Mentoring calls were mostly constructive,"Licensing and Code of Conduct, GitHub and README files, Final presentation call (open and live streamed), Attended some of these sessions in the last cycle.","I am not sure yet, but ask me later, I am on the last leg of my PhD so I dont have abandwidth to take up other commitments. While I woould like to remain a pat of the network , I may join back as a mentor after my defence (probably after september.))","Yes, they were able to engage",
I enjoyed my participation and did not find the experience overwhelming,"I think Overall, the OLS7 program cohort was well organized as the previous editions. It's difficult to predict if the mentees will successfully be engaged and motivated till the end of the session. I think emphasizing the monitoring and evaluation of student progress could be a good approach to identifying early intervention strategies (more aggressive reminders and tracking mechanisms, to proactively identify struggling students and provide timely support to ensure their success. Also, regular mentor meetings would be great to share experiences and help mentors face some challenges.",Mentoring calls were mostly constructive,"Tooling and Roadmapping (open canvas, project vision, etc.), Licensing and Code of Conduct, GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Data management plans, software citation, Citizen Science, Diversity and Inclusion, Mountain of engagement and Community interactions, Mental health, self care, personal ecology, Ally skills, Open Leadership: Career Guidance call, Final presentation rehearsals, Final presentation call (open and live streamed)","Yes, I'd like to return as a mentor, Yes, I am interesting in joining the OLS steering committee","Yes, they were able to engage",
"I felt supported as a mentor and the training offered in the OLS-7 was adequate, I enjoyed my participation and did not find the experience overwhelming",A sense of learning while being in a welcoming community,Mentoring calls were mostly constructive,"Tooling and Roadmapping (open canvas, project vision, etc.), Licensing and Code of Conduct, Mental health, self care, personal ecology","Yes, I'd like to return as an expert, I am not sure yet, but ask me later","Yes, they were able to engage",
"I felt supported as a mentor and the training offered in the OLS-7 was adequate, I enjoyed my participation and did not find the experience overwhelming","It was great to see the leaders of a very ambitious project actually organizing their thoughts with the help of the OLS training. They had already a lot of the Open values on the design of their project, but they learned new tools and methods which were just what they needed.",Mentoring calls were always constructive,,"No, I would not be able to return to OLS-8, I've been thinking on a way to get the students on my community to participate on OLS regularly. Let's chat!","Yes, they were able to engage",
I felt supported as a mentor and the training offered in the OLS-7 was adequate,"I was supported as a mentor, the mentor slack channel allowed me to direct mentor-specific questions and before embarking on the journey Tracy provided a lot of clarity on expectations and the roles of a mentor.",Mentoring calls were always constructive,"Diversity and Inclusion, Mountain of engagement and Community interactions, Open Leadership: Career Guidance call","Yes, I'd like to return as a mentor, Yes, I'd like to return as an expert","Yes, they were able to engage",
I felt supported as a mentor and the training offered in the OLS-7 was adequate,,Mentoring calls were always constructive,"Mountain of engagement and Community interactions, Mental health, self care, personal ecology, Ally skills, Open Leadership: Career Guidance call, Final presentation rehearsals, Final presentation call (open and live streamed)","Yes, I'd like to return as a mentor, Yes, I'd like to return as an expert","Yes, they were able to engage",
I felt supported as a mentor and the training offered in the OLS-7 was adequate,"The OLS was a supportive and inclusive community, and during my mentorship experience I felt supported by everyone in this amazing community. Something that can be improved could be the interaction among the mentors to share their experiences. We have the slack channel and the calls in the middle of the program, but maybe more frequent calls could be useful.",Mentoring calls were not structured or constructive,Citizen Science,"Yes, I'd like to return as a mentor, Yes, I'd like to return as an expert, Yes, I am interesting in joining the OLS steering committee","Yes, they were able to engage",
I enjoyed my participation and did not find the experience overwhelming,,Mentoring calls were always constructive,"Tooling and Roadmapping (open canvas, project vision, etc.), Licensing and Code of Conduct","Yes, I'd like to return as a mentor","Yes, they were able to engage",
"I felt supported as a mentor and the training offered in the OLS-7 was adequate, Maybe it could be useful for future mentors to plan their training before they meet their mentees for the first time so they feel more confident.  ","All expectation were met, I felt very supported, despite my mentee not willing to accept my help or suggestions.",Mentoring calls were somewhat constructive,My mentee refused to follow the structure of the program and my recommendations to use any of the above.,"Yes, I'd like to return as a mentor, Yes, I'd like to return as a collaborator to run this program in my network, Yes, I am interesting in joining the OLS steering committee","No, they had difficulty engaging or attending calls",
I felt supported as a mentor and the training offered in the OLS-7 was adequate,"Support for me and my mentee were perfect. I think it has been discussed before, and there is a session of introduction before starting the cohort (and also very different types of projects), but I still feel there should be a bit more on project management/planning?",Mentoring calls were somewhat constructive,,"Yes, I'd like to return as a mentor, Yes, I'd like to return as an expert","Yes, they were able to engage",
"I felt supported as a mentor and the training offered in the OLS-7 was adequate, I enjoyed my participation and did not find the experience overwhelming","I was able to meet extraordinary people and very interesting projects, the networks created have been the best. I can't think of many things apart from what I talked about with Paz at the mid-cohort meeting.",Mentoring calls were always constructive,Final presentation call (open and live streamed),"Yes, I'd like to return as a mentor, Yes, I'd like to return as an expert","Yes, they were able to engage",
"I felt supported as a mentor but the training offered in the OLS-7 can be improved, I enjoyed my participation and did not find the experience overwhelming","I missed the mentor check-ins at half way as I couldn't make any of them at short notice. It was fine for me as this wasn't my first time mentoring in OLS, but I wished they'd be announced sooner",Mentoring calls were always constructive,"Mental health, self care, personal ecology, Open office/co-working hours and social calls","Yes, I'd like to return as an expert, Happy to leave mentoring to other people, but can be a mentor in OLS-8 if needed","Yes, they were able to engage",
"I felt supported as a mentor and the training offered in the OLS-7 was adequate, I enjoyed my participation and did not find the experience overwhelming",The program's structure is set to facilitate the learning and growth of the mentee with practical tools. Mentors also have resources to lean on.,Mentoring calls were always constructive,,"I am not sure yet, but ask me later","Yes, they were able to engage",
