How was your overall project leadership experience in OLS?,How was your overall experience with the mentor-mentee calls?,How was your overall experience with the cohort calls?,Which of the following topics introduced in these cohort calls were useful for your open science journey?,"Would you be interested in joining as a mentor, call facilitator, or expert in the next cohort?",Would you recommend this program to others?
I was able to meet MOST of my goals,Mentoring calls were always useful,They were mostly useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, Project development: Agile and iterative project management methods & Open Aspects, Designing for inclusion: Implicit bias, Diversity and Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Ally skills, Career Guidance calls, Final presentation call (open and live streamed)",,Yes
I was able to meet ALL my goals,Mentoring calls were always useful,They were mostly useful,"Tooling and Roadmapping (open canvas, project vision etc.), GitHub and README files, Knowledge Dissemination: Citizen science, open education, Preprints, open protocols, Designing for inclusion: Implicit bias, Diversity and Inclusion, Mental health, self care, personal ecology, Ally skills, Final presentation rehearsals, Final presentation call (open and live streamed)","No, I would not be able to return to OLS-2",Yes
I was able to meet MOST of my goals,Mentoring calls were mostly useful,They were always useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, Project development: Agile and iterative project management methods & Open Aspects, Designing for inclusion: Implicit bias, Diversity and Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Final presentation rehearsals, Final presentation call (open and live streamed)","I am not sure yet, but ask me later when you have launched OLS-2",Yes
I was able to meet MOST of my goals,Mentoring calls were somewhat useful,They were mostly useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Designing for inclusion: Implicit bias, Diversity and Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions","I am not sure yet, but ask me later when you have launched OLS-2",Yes
I was able to meet ALL my goals,Mentoring calls were mostly useful,They were mostly useful,"Tooling and Roadmapping (open canvas, project vision etc.), Knowledge Dissemination: Citizen science, open education, Preprints, open protocols, Designing for inclusion: Implicit bias, Diversity and Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Ally skills, Open agenda and social calls, Final presentation rehearsals, Final presentation call (open and live streamed)","Yes I'd like to return as a mentor, Yes I'd like to return as a collaborator to run an OLS cohort for my network",Yes
I was able to meet ALL my goals,Mentoring calls were always useful,They were mostly useful,"GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Mental health, self care, personal ecology, Final presentation call (open and live streamed)","I am not sure yet, but ask me later when you have launched OLS-2",Yes
I was able to meet ALL my goals,Mentoring calls were always useful,They were somewhat useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, Project development: Agile and iterative project management methods & Open Aspects, Designing for inclusion: Implicit bias, Diversity and Inclusion, Mountain of engagement and Community interactions, Open agenda and social calls, Final presentation rehearsals, Final presentation call (open and live streamed)",Yes I'd like to return as a collaborator to run an OLS cohort for my network,Yes
I was able work on my project but only PARTIALLY,Mentoring calls were always useful,They were mostly useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Knowledge Dissemination: Citizen science, open education, Preprints, open protocols, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Final presentation call (open and live streamed)","No, I would not be able to return to OLS-2",Yes
I was able to meet MOST of my goals,Mentoring calls were always useful,They were always useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Knowledge Dissemination: Citizen science, open education, Preprints, open protocols, Designing for inclusion: Implicit bias, Diversity and Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Ally skills, Final presentation call (open and live streamed)",Yes I'd like to return as a mentor,Yes
I was able to meet MOST of my goals,Mentoring calls were always useful,They were always useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Knowledge Dissemination: Citizen science, open education, Preprints, open protocols, Designing for inclusion: Implicit bias, Diversity and Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Ally skills, Career Guidance calls, Open agenda and social calls, Final presentation rehearsals, Final presentation call (open and live streamed)","Yes I'd like to return as a mentor, I am not sure yet, but ask me later when you have launched OLS-2",Yes
