How was your overall project leadership experience in OLS?,How was your overall experience with the mentor-mentee calls?,How was your overall experience with the cohort calls?,Which of the following topics introduced in these cohort calls were useful for your open science journey?,"Would you be interested in joining as a mentor, call facilitator, or expert in the next cohort?",Would you recommend this program to others?
I was able to meet ALL my goals,Mentoring calls were always useful,I could not attend,"Licensing and Code of Conduct, Knowledge Dissemination: Preprints, Training and Code Publishing, Data management plans, software citation, Diversity & Inclusion, Ally skills","I am not sure yet, but ask me later",Yes
I was able to meet MOST of my goals,Mentoring calls were always useful,They were mostly useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Knowledge Dissemination: Preprints, Training and Code Publishing, Data management plans, software citation, Mountain of engagement and Community interactions","Yes I'd like to return as a mentor, Yes I'd like to return as a call facilitator",Yes
I was able to meet MOST of my goals,Mentoring calls were always useful,They were always useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Diversity & Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Ally skills, Open Leadership: Career Guidance call",Yes I'd like to return as an expert,Yes
I was able to meet MOST of my goals,Mentoring calls were always useful,They were always useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Knowledge Dissemination: Preprints, Training and Code Publishing, Data management plans, software citation, Citizen Science, Diversity & Inclusion, Mountain of engagement and Community interactions, Mental health, self care, personal ecology, Open Leadership: Career Guidance call, Final presentation rehearsals, Final presentation call (open and live streamed)",Yes I'd like to return as a mentor,Yes
I was able to meet ALL my goals,Mentoring calls were always useful,They were mostly useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Knowledge Dissemination: Preprints, Training and Code Publishing, Diversity & Inclusion, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Open Leadership: Career Guidance call, Final presentation rehearsals, Final presentation call (open and live streamed)","Yes I'd like to return as a mentor, Yes I'd like to return as an expert, Yes I'd like to return as a collaborator to run an OLS cohort for my network",Yes
I was able work on my project but only PARTIALLY,Mentoring calls were always useful,They were always useful,"GitHub and README files, Diversity & Inclusion, Mental health, self care, personal ecology",Yes I'd like to return as a call facilitator,Yes
I was able to meet MOST of my goals,Mentoring calls were always useful,They were always useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Knowledge Dissemination: Preprints, Training and Code Publishing, Data management plans, software citation, Citizen Science, Diversity & Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Ally skills, Open Leadership: Career Guidance call, Final presentation rehearsals, Final presentation call (open and live streamed)","I am not sure yet, but ask me later",Yes
I was able to meet MOST of my goals,Mentoring calls were always useful,They were mostly useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, Project development: Agile and iterative project management methods & Open Aspects, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Ally skills, Final presentation rehearsals, Final presentation call (open and live streamed)","I am not sure yet, but ask me later",Yes
I was able to meet MOST of my goals,Mentoring calls were mostly useful,They were always useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Data management plans, software citation, Diversity & Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Ally skills, Open Leadership: Career Guidance call, Open office/co-working hours and social calls, Final presentation rehearsals, Social entreprise, hardware ",Yes I'd like to return as a mentor,Yes
I was able work on my project but only PARTIALLY,Mentoring calls were always useful,They were always useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Knowledge Dissemination: Preprints, Training and Code Publishing, Data management plans, software citation, Citizen Science, Diversity & Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Ally skills, Open Leadership: Career Guidance call, Open office/co-working hours and social calls, Final presentation rehearsals","Yes I'd like to return as a mentor, Yes I'd like to return as an expert, Yes I'd like to return as a call facilitator, Yes I'd like to return as a collaborator to run an OLS cohort for my network",Yes
I was able work on my project but only PARTIALLY,Mentoring calls were always useful,They were always useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Knowledge Dissemination: Preprints, Training and Code Publishing, Data management plans, software citation, Citizen Science, Diversity & Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Ally skills, Open Leadership: Career Guidance call, Open office/co-working hours and social calls, Final presentation rehearsals","I am not sure yet, but ask me later",Yes
I was able to meet MOST of my goals,Mentoring calls were always useful,They were always useful,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Ally skills, Final presentation call (open and live streamed)","Yes I'd like to return as an expert, I am not sure yet, but ask me later, I don't know how but I'd like to stay involved!",Yes
